fclass
tourist_info
hotel
restaurant
bank
school
archaeological
attraction
post_box
clothes
guesthouse
supermarket
toilet
garden_centre
convenience
fast_food
clinic
gift_shop
telephone
swimming_pool
bench
waste_basket
town_hall
playground
picnic_site
fire_station
camp_site
hostel
lighthouse
viewpoint
tower
alpine_hut
bar
water_tower
shelter
comms_tower
chalet
observation_tower
fountain
police
motel
cafe
bakery
laundry
museum
ruins
university
water_well
veterinary
artwork
memorial
bookshop
greengrocer
post_office
general
doityourself
community_centre
butcher
pharmacy
park
beverages
caravan_site
arts_centre
computer_shop
hairdresser
atm
stationery
mobile_phone_shop
car_dealership
beauty_shop
shoe_shop
jeweller
monument
bicycle_shop
courthouse
market_place
travel_agent
optician
nightclub
dentist
pitch
doctors
sports_centre
car_rental
car_wash
florist
embassy
pub
department_store
drinking_water
hospital
furniture_shop
hunting_stand
library
food_court
kindergarten
water_works
vending_any
water_mill
wastewater_plant
college
bicycle_rental
camera_surveillance
outdoor_shop
chemist
stadium
mall
