fclass
archaeological
attraction
pitch
swimming_pool
park
hotel
museum
community_centre
graveyard
university
post_office
hospital
school
college
restaurant
public_building
police
town_hall
travel_agent
market_place
stadium
supermarket
guesthouse
bicycle_rental
doityourself
department_store
convenience
clinic
camp_site
sports_centre
track
bar
water_tower
shelter
picnic_site
toilet
tower
observation_tower
car_rental
butcher
motel
doctors
furniture_shop
stationery
library
pharmacy
clothes
bank
gift_shop
car_dealership
playground
bakery
beverages
embassy
courthouse
mobile_phone_shop
arts_centre
general
nightclub
cafe
tourist_info
bicycle_shop
pub
hairdresser
hostel
laundry
fast_food
dentist
beauty_shop
computer_shop
shoe_shop
florist
bookshop
optician
wastewater_plant
car_wash
fire_station
artwork
veterinary
greengrocer
toy_shop
water_works
drinking_water
cinema
mall
garden_centre
sports_shop
video_shop
jeweller
kindergarten
chalet
monument
water_well
prison
kiosk
zoo
alpine_hut
comms_tower
lighthouse
ruins
memorial
